t,target_x,target_y,target_theta,pos_x,pos_y,pos_theta,pos_w0,pos_w1,pos_w2,target_vx,target_vy,target_vtheta
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,-0.000016,-0.000021,0.000017,0.000000,-0.000002,-0.000016,0.007170,-0.001476,-0.006943,-0.000162,-0.000212,0.000169
0.030000,-0.000065,-0.000085,0.000068,-0.000001,-0.000003,-0.000021,0.028026,-0.006556,-0.027627,-0.000649,-0.000831,0.000834
0.040000,-0.000146,-0.000190,0.000152,-0.000003,-0.000005,-0.000024,0.063115,-0.013985,-0.061923,-0.001447,-0.001874,0.001732
0.050000,-0.000258,-0.000338,0.000270,-0.000006,-0.000008,-0.000023,0.112138,-0.024139,-0.109708,-0.002557,-0.003330,0.002940
0.060000,-0.000403,-0.000527,0.000421,-0.000010,-0.000014,-0.000017,0.174835,-0.037068,-0.170585,-0.003976,-0.005188,0.004444
0.070000,-0.000580,-0.000757,0.000606,-0.000017,-0.000023,-0.000003,0.250819,-0.052750,-0.244058,-0.005696,-0.007434,0.006228
0.080000,-0.000788,-0.001028,0.000824,-0.000028,-0.000039,0.000020,0.339603,-0.071095,-0.329557,-0.007706,-0.010049,0.008267
0.090000,-0.001027,-0.001341,0.001075,-0.000044,-0.000063,0.000054,0.440554,-0.092062,-0.426395,-0.009994,-0.013014,0.010549
0.100000,-0.001298,-0.001694,0.001359,-0.000066,-0.000097,0.000101,0.553000,-0.115527,-0.533847,-0.012543,-0.016307,0.013051
0.110000,-0.001600,-0.002087,0.001676,-0.000093,-0.000141,0.000097,0.676180,-0.141372,-0.651122,-0.015338,-0.019903,0.015751
0.120000,-0.001933,-0.002521,0.002026,-0.000137,-0.000200,0.000141,0.809182,-0.171737,-0.779892,-0.018404,-0.023805,0.019290
0.130000,-0.002297,-0.002995,0.002408,-0.000200,-0.000276,0.000202,0.949706,-0.201360,-0.915744,-0.021595,-0.027951,0.022668
0.140000,-0.002691,-0.003509,0.002823,-0.000270,-0.000374,0.000329,1.096674,-0.231295,-1.058988,-0.024911,-0.032325,0.026218
0.150000,-0.003116,-0.004062,0.003271,-0.000353,-0.000495,0.000511,1.253635,-0.263882,-1.206964,-0.028462,-0.036883,0.029414
0.160000,-0.003572,-0.004655,0.003751,-0.000451,-0.000645,0.000905,1.418349,-0.298387,-1.359216,-0.032191,-0.041599,0.032399
0.170000,-0.004058,-0.005286,0.004263,-0.000590,-0.000812,0.000907,1.593139,-0.331322,-1.509785,-0.036068,-0.046414,0.033579
0.180000,-0.004573,-0.005957,0.004807,-0.000723,-0.000996,0.000893,1.757581,-0.367692,-1.677899,-0.039832,-0.051448,0.039001
0.190000,-0.005119,-0.006666,0.005384,-0.000859,-0.001206,0.000954,1.934096,-0.411579,-1.854174,-0.043963,-0.056707,0.044912
0.200000,-0.005695,-0.007414,0.005992,-0.001013,-0.001441,0.000997,2.120462,-0.459887,-2.032662,-0.048358,-0.062077,0.050387
0.210000,-0.006300,-0.008200,0.006633,-0.001172,-0.001722,0.001226,2.310941,-0.510207,-2.216861,-0.052868,-0.067593,0.056351
0.220000,-0.006935,-0.009024,0.007304,-0.001365,-0.002031,0.001458,2.510608,-0.565197,-2.394248,-0.057625,-0.073021,0.060780
0.230000,-0.007599,-0.009886,0.008008,-0.001594,-0.002374,0.001734,2.710022,-0.618549,-2.575146,-0.062342,-0.078543,0.065497
0.240000,-0.008292,-0.010785,0.008743,-0.001815,-0.002764,0.002070,2.908228,-0.668991,-2.756837,-0.066977,-0.084106,0.070092
0.250000,-0.009014,-0.011722,0.009510,-0.002073,-0.003156,0.003116,3.115940,-0.730756,-2.934579,-0.071994,-0.089571,0.074397
0.260000,-0.009766,-0.012695,0.010308,-0.002352,-0.003580,0.004375,3.344574,-0.770831,-3.104836,-0.076924,-0.095394,0.071919
0.270000,-0.010546,-0.013706,0.011137,-0.002617,-0.004036,0.005087,3.581008,-0.809304,-3.271048,-0.081937,-0.101259,0.067620
0.280000,-0.011354,-0.014753,0.011997,-0.002934,-0.004539,0.005878,3.814623,-0.870830,-3.454040,-0.087373,-0.107175,0.069096
0.290000,-0.012191,-0.015837,0.012888,-0.003267,-0.005092,0.006676,4.041613,-0.927211,-3.632081,-0.092572,-0.112981,0.070102
0.300000,-0.013057,-0.016957,0.013810,-0.003658,-0.005694,0.007474,4.269311,-0.989898,-3.806224,-0.097893,-0.118651,0.071339
0.310000,-0.013950,-0.018113,0.014763,-0.004068,-0.006354,0.008268,4.486474,-1.047931,-3.976773,-0.102922,-0.124187,0.072885
0.320000,-0.014871,-0.019304,0.015746,-0.004511,-0.007062,0.009161,4.701775,-1.112880,-4.141148,-0.108039,-0.129502,0.074784
0.330000,-0.015821,-0.020531,0.016760,-0.004973,-0.007828,0.010040,4.915612,-1.177408,-4.299384,-0.113100,-0.134692,0.075993
0.340000,-0.016798,-0.021794,0.017805,-0.005470,-0.008643,0.010882,5.127150,-1.249059,-4.451489,-0.118246,-0.139656,0.077647
0.350000,-0.017802,-0.023091,0.018880,-0.005990,-0.009517,0.011629,5.332894,-1.322719,-4.600735,-0.123320,-0.144477,0.079972
0.360000,-0.018834,-0.024423,0.019985,-0.006540,-0.010436,0.012410,5.533021,-1.404096,-4.745986,-0.128443,-0.149063,0.083560
0.370000,-0.019894,-0.025790,0.021120,-0.007135,-0.011414,0.013328,5.730965,-1.486585,-4.887544,-0.133534,-0.153547,0.087095
0.380000,-0.020980,-0.027192,0.022285,-0.007895,-0.012455,0.013552,5.923166,-1.566763,-5.017886,-0.138450,-0.157774,0.089576
0.390000,-0.022093,-0.028627,0.023480,-0.008560,-0.013422,0.014274,6.055322,-1.627667,-5.160848,-0.141984,-0.161724,0.099287
0.400000,-0.023233,-0.030097,0.024705,-0.009181,-0.014407,0.015234,6.248908,-1.696834,-5.322390,-0.146728,-0.166744,0.104314
0.410000,-0.024400,-0.031600,0.025960,-0.009816,-0.015443,0.016493,6.469792,-1.779623,-5.482230,-0.152190,-0.171930,0.107258
0.420000,-0.025593,-0.033137,0.027244,-0.010476,-0.016593,0.017997,6.698494,-1.864379,-5.628038,-0.157776,-0.176937,0.107510
0.430000,-0.026813,-0.034707,0.028558,-0.011266,-0.017878,0.018948,6.920579,-1.958283,-5.742195,-0.163369,-0.181142,0.105611
0.440000,-0.028059,-0.036310,0.029901,-0.012094,-0.019223,0.019660,7.083477,-2.050377,-5.841919,-0.167924,-0.184315,0.109528
0.450000,-0.029330,-0.037946,0.031274,-0.012970,-0.020626,0.020474,7.231845,-2.148234,-5.941253,-0.172359,-0.187224,0.116139
0.460000,-0.030628,-0.039614,0.032675,-0.013903,-0.022043,0.021068,7.372752,-2.243273,-6.030495,-0.176584,-0.189885,0.122013
0.470000,-0.031952,-0.041315,0.034106,-0.014927,-0.023500,0.021702,7.501172,-2.331638,-6.132329,-0.180482,-0.192715,0.130379
0.480000,-0.033301,-0.043048,0.035566,-0.015952,-0.024989,0.022331,7.611977,-2.403755,-6.232004,-0.183735,-0.195482,0.138637
0.490000,-0.034675,-0.044813,0.037054,-0.016971,-0.026536,0.023046,7.728067,-2.483561,-6.331747,-0.187230,-0.198233,0.147230
0.500000,-0.036075,-0.046609,0.038571,-0.018028,-0.028115,0.023753,7.849959,-2.575064,-6.421397,-0.191039,-0.200731,0.155255
0.510000,-0.037500,-0.048438,0.040117,-0.019180,-0.029721,0.024249,7.967537,-2.664275,-6.511695,-0.194722,-0.203221,0.163642
